store_id,purchase_datetime,product_title,sku,currency,price,quantity,total_price,type_of_transaction,transaction_id,transaction_datetime,session_id,product_category,product_subcategory,entry/exit_method,trip_duration_mins,group_size
HDHRoger'sMarket,2/28/2024 7:03,Cheetos Flamin Hot Limon,28400047920,,,1,,order,aadae6df-aeb4-4d42-86c4-4cb41dee44a6,,ee05da65-08a6-40e8-bad0-cc97cbb979b0,NTPM-JWO-GR CHIPS,NTPM-JWO-GR CHIPS,App,1.0666,1
HDHRoger'sMarket,2/28/2024 7:03,Trolli Sour Brite Crwlrs Berry,41420115875,,,1,,order,b89ffb88-46dc-43cb-9e7c-ec8e3d32a877,,ee05da65-08a6-40e8-bad0-cc97cbb979b0,NTPM-JWO-GR CANDY,NTPM-JWO-GR CANDY,App,1.0666,1
HDHRoger'sMarket,2/28/2024 7:03,Turkey & Cheddar Sandwich,99999102727,,,1,,order,0c9ed66e-0e97-4b4b-be1a-52d44d042c07,,ee05da65-08a6-40e8-bad0-cc97cbb979b0,NTPM-JWO-Market Kitchen Active,NTPM-JWO-Market Kitchen Active,App,1.0666,1
HDHRoger'sMarket,2/28/2024 7:09,Pepperoni Protein Pack,99999100884,,,3,,order,01a6c049-a7f4-45ee-84fc-3fb8c9d7fc7a,,51be7741-b716-4478-be50-ef2b5f52d69d,NTPM-JWO-Market Kitchen Active,NTPM-JWO-Market Kitchen Active,App,0.95,1
HDHRoger'sMarket,2/28/2024 7:09,Dnkn Dnts Iced Coffee Vanilla,49000072396,,,1,,order,20bc02c6-bd1f-45c3-89c9-7dc1d9f6f259,,e63a092b-2814-4358-a2f9-e9354c72d829,NTPM-JWO-BEVERAGES,NTPM-JWO-BEVERAGES,App,0.85,1
HDHRoger'sMarket,2/28/2024 7:17,Banana,99990000329,,,1,,order,fa0414df-e886-4a07-9410-ba87ecfda3a5,,92e469b4-d9e7-4028-bb22-c7fb6fde6b8c,NTPM-JWO-RE-Produce,NTPM-JWO-RE-Produce,App,0.7666,1
HDHRoger'sMarket,2/28/2024 7:26,Alta Dena Milk Whole 64oz,70399100100,,,1,,order,4bf7b510-5141-4597-b71f-06d2389c5b70,,edeec561-2161-417a-8099-fd16999a961d,NTPM-JWO-BEV SOY MILK ALTERNATIVES,NTPM-JWO-BEV SOY MILK ALTERNATIVES,App,2.7666,1
HDHRoger'sMarket,2/28/2024 7:26,Clif Builders Choc Pnt Butter,7.22253E+11,,,1,,order,00baad25-de94-42c1-baba-980e3cfb4972,,a9f8bcfd-0646-49dd-8de9-5b0aff3cae83,NTPM-JWO-GR BARS,NTPM-JWO-GR BARS,App,0.8666,1
HDHRoger'sMarket,2/28/2024 7:26,Naked Power C Machine,82592917157,,,1,,order,72ecd6c1-5e20-4984-ba1f-5f93cd881c05,,a9f8bcfd-0646-49dd-8de9-5b0aff3cae83,NTPM-JWO-BEV JUICES PERISHABLE,NTPM-JWO-BEV JUICES PERISHABLE,App,0.8666,1
HDHRoger'sMarket,2/28/2024 7:27,Guayaki Sprklng Classic Gold,6.32432E+11,,,1,,order,5783aa9c-8a88-46b3-855f-d53c13ebd5f0,,983da622-1326-4acd-94c6-ecc20ae1c4d0,NTPM-JWO-BEVERAGES,NTPM-JWO-BEVERAGES,App,1.3166,1
